0	224	760.43	1782.19	760.6899999999999	1783.17	shop
1	256	973.71	2026.99	1079.3	2188.73	hallway	144
2	352	684.67	1954.58	760.43	2248.8599999999997	hallway	377, 378, 379, 380, 381, 382
3	257	1372.35	937.7	1427.35	1056.76	hallway	383
4	321	1953.22	2401.77	2011.82	2554.42	facility_room	134
5	353	684.67	2249.45	760.43	2568.08	hallway	384, 385, 386, 387, 388, 379
6	226	1562.32	908.74	1903.63	1092.2	shop	389
7	258	1372.35	1056.76	1445.1599999999999	1117.78	lift	390
8	290	1445.17	1185.92	1564.0	1264.19	hallway	391, 392, 393, 394, 395
9	322	1858.93	2832.06	2011.81	2906.49	hallway	38, 40
10	354	1638.8	1279.9	1663.24	1341.3200000000002	shop	396, 397, 398
11	195	1022.54	400.48	1173.02	653.11	shop	400, 401, 402, 399
12	259	1372.35	1117.78	1445.1599999999999	1177.07	lift	403
13	291	1564.0	1092.2	1663.24	1264.18	hallway	404, 389, 405, 406, 394
14	323	1791.82	1420.73	1808.9099999999999	1487.42	hallway	407
15	355	1663.24	1092.2	1791.82	1341.3200000000002	shop	405, 408, 409, 410, 398
16	260	1808.91	1528.41	1887.63	1598.7	lift	411, 412
17	292	1564.0	1264.19	1663.24	1279.91	hallway	404, 408, 397, 413, 414
18	324	1808.91	1420.73	1887.63	1528.4	hallway	407, 412, 158, 415
19	356	1791.82	1092.2	1903.6299999999999	1279.9	shop	416, 417, 410
20	197	1022.54	653.11	1173.02	869.7	shop	418
21	229	1639.76	2068.23	1808.91	2109.64	shop	419, 420
22	261	1769.16	2494.91	1839.65	2560.43	lift	421
23	293	1564.0	1279.9	1638.81	1687.39	hallway	422, 423, 424, 425, 426, 396, 413
24	325	1887.64	1420.73	1975.8300000000002	1491.46	hallway	113, 415
25	357	1791.82	1279.91	1808.58	1334.8400000000001	shop	416, 409
26	198	1022.54	869.7	1173.02	1185.92	shop	180, 427, 428, 429
27	230	1903.9	2068.23	1976.46	2109.64	shop	430
28	262	1769.16	2401.77	1839.65	2494.91	lift	431
